file,timestamp,Vbus_P1_V,T1_us,T2_gap_us,T3_us,I_Eoff_A,I_Eon_A,Eoff_Q1_first_uJ,Eon_Q1_second_uJ,E_sw_Q1_uJ,E_upper_sum_uJ
RigolDS0.bin,2026-05-27 23:01:27,49.255802154541016,4.984499874080939,9.886499750246003,3.9849998993304325,1.182003140449524,1.0975743532180786,0.4232868713564711,0.03468512347981544,0.45797199483628653,1.215501736022319
RigolDS1.bin,2026-05-27 23:10:42,124.89864349365234,4.979999874194618,9.897999749955488,3.9739998996083163,2.7861502170562744,2.7861502170562744,1.943642986029496,0.33300659682488865,2.2766495828543847,6.626444836347894
RigolDS2.bin,2026-05-27 23:11:08,124.89864349365234,4.979499797970451,9.897499598436095,3.973999838765854,2.7861502170562744,2.7861502170562744,1.9359804777048648,0.34750314068048693,2.2834836183853517,6.673006293236395
RigolDS3.bin,2026-05-27 23:12:21,244.2567596435547,4.974499874333561,9.903999749803916,3.9729998996335785,5.656729221343994,5.656729221343994,5.018861899607163,2.7318723118128476,7.750734211420011,17.97458674165807
RigolDS4.bin,2026-05-27 23:14:44,373.4774169921875,4.966499874535657,9.900499749892335,3.9709998996841023,8.3511323928833,8.3511323928833,10.382385732852212,7.49239784674354,17.87478357959575,42.51438648634056
RigolDS5.bin,2026-05-27 23:16:09,497.96990966796875,4.962999874624074,9.907499749715498,3.964999899835675,11.092504501342773,11.092504501342773,16.96399109719549,14.343035930571137,31.307027027766626,73.68265614589939
